ax,ay,az,gx,gy,gz
-0.0917,1.4655,1.1585,-20.3,-99.26,-232.68
0.5627,-0.3963,1.2815,-24.22,-38.01,-363.37
0.6281,-1.0458,1.71,84.21,7.14,-307.23
0.2782,-0.4065,1.1766,123.69,88.76,-40.74
0.0049,0.1015,0.8023,69.51,69.02,-31.64
0.8125,-0.4714,-0.2098,-120.54,-576.1,192.43
1.3391,-0.3196,0.366,-91.35,-606.62,223.93
1.6324,-0.062,1.7202,99.4,-614.18,229.25
1.6685,0.8335,2.6298,109.27,-360.85,222.53
1.1043,0.7603,2.6874,95.34,-281.89,195.16
0.5714,1.302,2.0911,188.72,-91.56,30.94
-0.1859,0.8862,1.3888,382.13,-8.33,-281.47
0.974,0.5714,2.6264,-263.41,215.25,18.13
0.6803,0.7852,2.0315,100.24,232.54,-114.1
0.7745,0.364,1.3801,110.6,149.17,-158.48
0.4836,0.5026,-0.0737,-37.45,-489.79,86.87
0.6544,0.7725,0.8003,-41.37,-532.21,21.0
0.8891,0.5705,1.5328,8.47,-481.18,-84.56
0.9882,-0.1669,2.4459,93.1,-356.93,-147.14
0.9379,0.3631,2.765,211.75,-16.45,-48.79
0.753,0.0893,1.4191,-194.74,430.08,45.5
0.5007,0.0776,0.9945,-8.61,218.61,107.03
-0.4133,1.6236,0.5812,-52.57,21.63,110.67
-0.4982,2.3107,0.6578,-71.47,-17.43,40.25
-0.0605,1.5221,1.0433,-45.57,-31.08,-272.23
0.3226,0.8916,0.8804,-12.32,-32.76,-317.31
0.5109,-0.5163,1.5528,92.4,-10.92,-330.19
0.1932,-0.2547,0.9526,90.16,55.58,-53.41
0.202,-0.1288,1.405,28.35,-78.54,5.18
0.0537,-0.8906,-0.7125,-85.75,-364.35,34.51
0.9897,-0.8164,-0.2718,-12.39,-610.75,117.6
1.3586,-0.6207,0.3723,68.04,-702.17,216.3
1.4991,-0.2699,1.0751,124.6,-616.21,232.61
1.259,0.2835,2.0247,117.53,-506.38,191.94
1.0077,0.589,2.522,127.82,-298.27,124.32
0.7818,0.1415,1.7392,22.19,205.94,-134.61
1.3552,-0.2435,1.5055,-172.34,190.89,45.57
0.385,-0.0708,1.0829,-104.09,172.34,-41.58
0.6124,0.0693,1.0912,47.88,-535.78,-82.11
0.955,-0.002,2.3561,148.89,-373.45,-118.02
0.9052,-0.4558,2.7972,65.87,-280.07,-150.29
0.9282,-1.0565,3.0041,33.39,-158.48,-155.75
1.0316,-1.2156,2.4566,47.25,-40.95,-87.99
0.6993,-0.185,1.7143,128.03,28.35,90.37
0.4338,0.2577,1.2678,136.08,17.85,80.01
0.6446,0.6817,1.4391,-119.0,14.91,-372.75
0.7066,-0.4982,1.2815,-82.88,60.27,-382.34
0.6085,-1.1619,1.2322,33.95,98.14,-345.52
0.368,-0.6554,1.0594,139.44,113.12,-103.6
0.161,-0.2791,0.7881,79.24,64.75,-64.61
0.123,0.3899,1.1849,-1.68,72.45,-14.14
0.0708,0.1064,1.5557,4.27,-157.01,8.68
0.6061,-0.2972,-0.2089,69.51,-583.73,246.05
0.8486,-0.0464,0.3026,33.25,-651.42,241.08
1.058,0.242,0.8452,-39.62,-620.13,197.33
1.3352,0.1479,1.9271,-60.9,-429.8,126.0
0.5256,1.2146,2.055,220.64,22.82,-2.52
-0.1357,0.8823,1.7544,-130.55,-92.61,-89.46
0.8306,0.4656,2.2916,-358.19,341.04,11.41
0.6544,0.2996,1.2751,174.23,137.9,-137.48
0.4265,0.5212,1.2058,70.21,186.27,-83.86
-0.5012,-0.2464,-0.4738,21.07,-47.67,22.96
0.4441,0.6661,-0.4192,-27.86,-610.05,212.31
