ax,ay,az,gx,gy,gz
0.7398,0.7056,1.5167,111.58,-262.15,184.52
0.6359,1.2659,2.2438,92.47,-336.14,163.03
0.5627,1.3669,3.2013,177.38,-117.53,58.59
0.6964,1.6475,3.0851,152.81,280.7,-83.44
0.6529,1.484,1.7158,32.34,331.24,-147.49
0.569,1.2727,1.1478,24.99,288.05,-179.41
0.6198,0.8057,1.0736,-19.95,339.36,-204.68
0.2948,0.0669,-0.2816,-4.41,-516.88,87.01
0.4724,0.3572,0.0991,18.13,-578.76,101.64
0.5836,0.6495,0.5524,19.67,-525.07,75.88
0.6632,0.6886,1.1629,40.74,-472.36,27.37
0.8316,0.0034,1.8124,165.41,-376.95,-16.87
0.8423,0.0351,2.3941,301.35,-277.97,30.1
0.7793,0.5192,2.5542,308.7,-179.69,48.65
-0.2333,0.5758,0.6432,36.68,295.75,-119.84
0.6002,-0.1571,1.0599,38.85,170.8,61.88
0.427,0.4992,0.9238,100.45,216.3,65.52
-0.2542,1.5094,0.284,-70.49,53.48,26.04
0.9292,0.3162,1.3596,63.14,-439.81,249.27
0.9506,0.6564,1.8544,103.67,-332.78,221.83
1.3371,1.5933,1.5577,-64.75,-125.44,213.92
0.3206,1.0087,0.5783,136.57,-365.54,112.21
0.5597,1.8193,2.4615,-61.46,-177.8,149.59
0.3274,1.5196,3.0266,-55.79,-100.8,41.44
0.6993,0.9243,2.1169,-98.0,236.88,-79.66
0.6817,0.8062,1.364,-39.48,252.98,-108.36
0.773,0.5002,0.4631,57.33,-406.35,29.82
0.9614,0.6398,2.9422,74.27,-361.48,-14.77
0.3606,1.9466,3.5029,77.42,-496.65,-88.76
0.8135,0.0425,3.0393,-214.41,142.31,37.52
1.0551,-0.0996,2.2682,-106.82,362.67,95.48
0.9721,0.3152,1.1575,90.09,423.29,106.26
0.2943,0.4865,0.7686,4.2,135.8,162.4
0.589,0.1322,0.875,75.74,-108.85,-304.01
-0.0361,-0.2201,0.571,10.57,-262.15,143.85
0.7091,1.3903,1.7905,91.14,-264.04,103.11
0.5417,1.4786,2.2921,29.05,-162.26,52.71
0.5549,0.6163,0.9794,79.87,-421.75,45.36
1.4684,0.4202,2.1252,-201.11,-75.95,107.31
0.4782,0.6041,2.1799,-27.09,112.63,57.4
1.1185,-0.6032,0.468,-97.3,-500.99,42.07
1.5826,-0.8823,0.9643,-36.12,-543.2,38.22
1.8115,-0.8091,1.7573,145.25,-452.13,154.07
1.1761,0.5051,2.1672,233.94,-314.02,228.34
0.5719,1.5294,2.6332,164.71,-236.11,164.85
0.4387,0.8901,2.073,85.68,11.41,-55.72
0.5724,0.3245,1.2722,104.37,129.99,-167.02
1.0736,0.2777,2.1101,-42.56,180.53,-91.0
0.7164,0.2904,1.6036,47.6,177.1,-116.2
0.0571,0.6198,-0.2499,-14.56,-570.71,198.59
0.3592,0.9028,0.4241,-33.18,-628.95,122.78
0.5129,0.9345,1.1385,-49.21,-544.25,-5.81
0.834,0.4158,2.0535,15.19,-439.88,-123.06
1.0585,-0.2484,2.1789,74.69,-283.5,-159.6
1.0307,0.1371,2.4463,193.41,-99.4,-0.35
0.6939,2.2775,2.2248,139.58,-17.08,-13.58
1.1585,0.935,1.8544,-308.49,19.95,72.38
0.4416,-0.2713,1.117,-72.94,511.56,1.82
0.2806,0.2045,0.3514,-114.94,137.06,24.85
0.5124,-0.3611,0.8745,108.01,-190.26,-10.71
0.6891,-0.2625,1.6694,81.34,-182.7,29.26
-0.3797,1.5801,0.2606,-32.76,90.44,76.65
