ax,ay,az,gx,gy,gz
1.0355,0.6324,2.0789,222.32,-346.92,138.46
0.9438,1.1356,2.6742,267.05,-237.72,72.38
0.6066,0.7662,0.7501,-41.02,225.4,-5.74
-0.2694,1.5108,0.6237,-72.17,4.76,49.91
0.5085,1.0619,0.7745,161.56,33.81,-378.7
0.6564,-0.0254,1.1229,193.06,-47.81,-378.35
0.5368,-0.5022,1.3962,174.65,-71.47,-322.0
0.1898,0.3192,0.9292,-73.08,17.08,144.06
0.0371,0.4451,1.2068,-77.07,238.7,-138.46
-0.0703,0.2528,0.712,-98.28,231.42,-129.15
0.8223,0.2054,0.4133,99.05,-535.22,278.46
0.8081,0.4426,1.1751,114.52,-468.72,248.29
0.7462,0.895,1.6763,90.79,-299.25,204.89
